Country,WHO Group,3TC_Actual,3TC_Computed,3TC_Diff,ABC_Actual,ABC_Computed,ABC_Diff,AZT_Actual,AZT_Computed,AZT_Diff,ddl_Actual,ddl_Computed,ddl_Diff,d4T_Actual,d4T_Computed,d4T_Diff,EFV_Actual,EFV_Computed,EFV_Diff,FTC_Actual,FTC_Computed,FTC_Diff,LPV/r_Actual,LPV/r_Computed,LPV/r_Diff,NVP_Actual,NVP_Computed,NVP_Diff,TDF_Actual,TDF_Computed,TDF_Diff,ATV/r_Actual,ATV/r_Computed,ATV/r_Diff,Overall_Actual,Overall_Computed,Overall_Diff
Cameroon,A,38770.32,38760.15663308866,-10.163366911336198,1603.06,1598.7580261492426,-4.301973850757349,15553.8,15539.282365019535,-14.517634980464209,44.31,44.32840877622884,0.01840877622883852,226.35,226.36665574297186,0.016655742971863674,27271.74,27275.12623132609,3.3862313260869996,9613.16,9614.303544390143,1.1435443901427789,3946.17,3943.6825498539247,-2.487450146075389,16660.73,16650.49234533459,-10.237654665408627,32035.35,31423.48084213286,-611.8691578671387,543.11,543.4526919141117,0.34269191411169686,146268.09,145619.43029372836,-648.6597062716319
Canada,B,34.2,34.201334411487174,0.0013344114871713941,0.14,0.1365230082935959,-0.0034769917064041145,12.72,12.719664294575308,-0.00033570542469263387,0.0,0.0,0.0,0.0,0.0,0.0,26.46,26.45932943670906,-0.0006705632909422832,9.63,9.631187261258233,0.0011872612582326525,2.87,2.8706366226767166,0.0006366226767164918,13.97,13.965538663753348,-0.004461336246652792,31.95,31.34109737520335,-0.6089026247966487,0.54,0.5370169496062838,-0.002983050393716269,132.47,131.86232802356307,-0.6076719764369329
Cape Verde,A,14.05,14.050120598976202,0.0001205989762009807,0.06,0.05613297013548335,-0.0038670298645166468,5.23,5.2264208104031775,-0.003579189596822907,0.0,0.0,0.0,0.0,0.0,0.0,10.87,10.867752770927455,-0.0022472290725445987,3.96,3.9566335719493866,-0.0033664280506133792,1.18,1.1801437518476952,0.0001437518476952171,5.74,5.738059767321863,-0.0019402326781374768,13.12,12.874174122252398,-0.24582587774760079,0.22,0.22079788082857352,0.0007978808285735162,54.41,54.17023624464223,-0.23976375535776384
Cayman Islands,B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Central African Republic,A,620.38,619.9771135026537,-0.4028864973463442,33.75,33.65313897650696,-0.09686102349304093,255.79,255.4148557742382,-0.37514422576180095,0.95,0.9527715007355165,0.0027715007355165744,4.87,4.870242817031661,0.00024281703166106894,420.49,420.42873970781517,-0.06126029218484064,146.28,146.25383129444506,-0.026168705554937333,66.92,66.8386747824977,-0.08132521750229671,271.76,271.4719152934458,-0.28808470655417295,488.39,478.8923704097658,-9.497629590234169,8.31,8.31467962778731,0.00467962778730957,2317.88,2307.068333686923,-10.81166631307724
Chad,A,1037.43,1036.8562339203343,-0.573766079665802,63.3,63.12039572720476,-0.17960427279523827,430.89,430.2495100504035,-0.6404899495964855,1.81,1.808588890068247,-0.001411109931753085,9.24,9.240950884255316,0.0009508842553156427,693.9,693.9405461342488,0.04054613424887066,238.37,238.38200291282334,0.0120029128233341,113.73,113.5933768505787,-0.13662314942131104,456.47,456.0045648479925,-0.4654351520075011,798.43,783.4442619307574,-14.98573806924253,13.25,13.262122093490921,0.012122093490921415,3856.83,3839.902554242158,-16.927445757841724
Chile,B,123.02,123.02110227052599,0.0011022705259904342,0.45,0.4499608791313977,-3.912086860230479e-05,44.72,44.72004808246375,4.808246374921055e-05,0.0,0.0,0.0,0.0,0.0,0.0,96.86,96.85775355786933,-0.0022464421306693794,34.51,34.50912185389395,-0.000878146106046529,9.57,9.57758873930731,0.007588739307308856,49.32,49.322911432076616,0.0029114320766154833,115.57,113.5644627495255,-2.0055372504744895,1.77,1.771970395166686,0.0019703951666860675,475.8,473.79491995996057,-2.005080040039445
China,A,11785.55,11786.39706291771,0.8470629177099909,47.88,47.902963199978075,0.02296319997807217,4402.36,4402.516679528924,0.15667952892454196,0.0,0.0,0.0,0.0,0.0,0.0,9084.85,9085.072801148619,0.22280114861860056,3320.23,3320.2899445425055,0.05994454250549097,1004.0,1004.5369493786367,0.5369493786366775,4828.64,4828.697861733711,0.05786173371052428,10997.43,10784.206538930981,-213.22346106901932,188.28,188.37939519924572,0.09939519924571982,45659.22,45448.00019658032,-211.21980341968447
"China, Hong Kong SAR",A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"China, Macao SAR",A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Colombia,B,8179.98,8180.746492415783,0.7664924157834321,29.15,29.166340604473543,0.016340604473544573,2952.23,2952.3846691524755,0.1546691524754351,0.0,0.0,0.0,0.0,0.0,0.0,6473.2,6473.546679578821,0.3466795788208401,2290.53,2290.619837270887,0.08983727088661908,622.53,622.8816360418408,0.35163604184083397,3259.94,3260.043870198226,0.10387019822610455,7697.88,7567.90987201107,-129.97012798893047,114.83,114.89414386778252,0.06414386778251924,31620.27,31492.19354114136,-128.07645885863894
Comoros,A,1.84,1.8365754283384936,-0.003424571661506448,0.01,0.00733747678137363,-0.0026625232186263705,0.68,0.6831767721084809,0.0031767721084808853,0.0,0.0,0.0,0.0,0.0,0.0,1.42,1.420589066103628,0.0005890661036280775,0.52,0.5171952757267374,-0.0028047242732626154,0.15,0.15426365925347382,0.004263659253473828,0.75,0.7500561650530556,5.616505305561237e-05,1.72,1.6828604200595234,-0.037139579940476564,0.03,0.028861813655074092,-0.0011381863449259066,7.11,7.0809160770798405,-0.02908392292015982
Congo,A,426.33,426.43202304025493,0.10202304025494868,1.7,1.7036790428600732,0.003679042860073256,158.6,158.62591240692385,0.025912406923850995,0.0,0.0,0.0,0.0,0.0,0.0,329.78,329.8446990088914,0.06469900889140945,120.07,120.08688798289114,0.016887982891148567,35.79,35.818275297608466,0.028275297608466587,174.13,174.154550323451,0.024550323450995393,398.26,390.7411382877829,-7.518861712217074,6.7,6.701386393195127,0.0013863931951272335,1651.36,1644.108551783859,-7.251448216140943
Cook Islands,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Costa Rica,B,25.39,25.388358774640388,-0.0016412253596129744,0.61,0.6056675999891825,-0.004332400010817472,9.8,9.8000811662574,8.116625739873484e-05,0.02,0.015245557292156282,-0.004754442707843719,0.08,0.07824201487065617,-0.0017579851293438309,18.78,18.77792653784722,-0.0020734621527793706,6.66,6.661242814150445,0.0012428141504452483,2.3,2.2959944975177873,-0.004005502482212542,10.63,10.629171668952987,-0.0008283310470140748,22.23,21.825217781537894,-0.40478221846210616,0.36,0.35967904606114287,-0.00032095393885711587,96.85,96.43682745911725,-0.4131725408827407
Cote d'Ivoire,A,20739.84,20731.69798673995,-8.14201326005059,1181.28,1178.010264246759,-3.269735753240866,8560.51,8549.463938722158,-11.046061277842455,33.52,33.5347566266097,0.0147566266096959,171.38,171.39388111617657,0.01388111617657728,14012.35,14014.893581801394,2.5435818013938842,4839.96,4840.82056883561,0.8605688356101382,2238.18,2235.9148099097574,-2.265190090242413,9088.26,9080.540136254489,-7.7198637455112475,16193.85,15890.6735175423,-303.17648245770033,269.95,270.1394768137869,0.18947681378693915,77329.09,76997.08291860898,-332.00708139101334
Croatia,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
